ID_IBGE;ID_SNIS;MUNICIP1;MUNICIP2;UF;REGIAO;CENTRX;CENTRY;RENDAPITA;GINI;PIB;IDH;AG001;AG020;AG022;GE012;CONSUMO1;CONSUMO2;REDE;PROPREDE
5217203;521720;PIRANHAS;Piranhas;GO;5;-51,84191;-16,41412464; 612,75;0,5011;7,178885e+04;0,737;    9071;   326,65;   3396;   11266;2,899432e+01; 36,01036300;   3178;0,791531756
5217302;521730;PIRENPOLIS;Pirenpolis;GO;5;-49,01191;-15,81017209; 538,03;0,4966;9,387994e+04;0,713;   15563;   719,07;   6290;   23006;3,125576e+01; 46,20381700;   5231;0,720027529
5217401;521740;PIRES DO RIO;Pires do Rio;GO;5;-48,44007;-17,56411165; 686,47;0,4674;2,219519e+05;0,785;   27018;  1137,19;   9660;   28762;3,953793e+01; 42,09008800;   8691;0,927831750
5217609;521760;PLANALTINA;Planaltina;GO;5;-47,75156;-15,28377390; 454,58;0,4463;2,116754e+05;0,723;   76067;  2457,85;  20057;   81649;3,010263e+01; 32,31164600;  19460;0,852014011
5217708;521770;PONTALINA;Pontalina;GO;5;-49,53814;-17,53113783; 623,10;0,5491;1,059296e+05;0,805;   13576;   462,31;   4661;   17121;2,700251e+01; 34,05347700;   4454;0,734741010
5218003;521800;PORANGATU;Porangatu;GO;5;-49,23116;-13,29285556; 634,87;0,5746;1,949190e+05;0,761;   35610;  1241,11;  10829;   42355;2,930256e+01; 34,85285000;  10626;0,789919715
5218052;521805;PORTEIRO;Porteiro;GO;5;-50,14809;-17,90113660; 672,50;0,4116;5,715706e+04;0,724;    2929;   132,76;    881;    3347;3,966537e+01; 45,32605000;    867;0,811797753
5218102;521810;PORTELNDIA;Portelndia;GO;5;-52,70454;-17,35127019; 546,06;0,4000;4,996771e+04;0,780;    2880;    88,47;    889;    3839;2,304506e+01; 30,71875000;    843;0,682038835
5218300;521830;POSSE;Posse;GO;5;-46,44247;-14,23093025; 472,00;0,5494;9,796800e+04;0,711;   23934;   792,77;   7072;   31419;2,523218e+01; 33,12317200;   6963;0,774699599
5218391;521839;PROFESSOR JAMIL;Professor Jamil;GO;5;-49,24637;-17,27369523; 513,96;0,4413;1,904434e+04;0,736;    2261;    80,00;    865;    3239;2,469898e+01; 35,38257400;    764;0,698354662
5218508;521850;QUIRINPOLIS;Quirinpolis;GO;5;-50,52945;-18,43742425; 743,58;0,4755;2,607140e+05;0,780;   32901;  1192,05;  10242;   43220;2,758098e+01; 36,23142200;  10308;0,727093179
5218607;521860;RIALMA;Rialma;GO;5;-49,53253;-15,34065666; 608,63;0,4548;5,822977e+04;0,777;    9794;   398,17;   3180;   10523;3,783807e+01; 40,65448200;   3061;0,911826035
5218706;521870;RIANPOLIS;Rianpolis;GO;5;-49,44025;-15,47239044; 522,45;0,4190;5,279662e+04;0,759;    4071;   118,53;   1386;    4566;2,595926e+01; 29,11569600;   1242;0,857142857
5218789;521878;RIO QUENTE;Rio Quente;;5;-48,78112;-17,82762952; 628,49;0,4692;NA;NA;NA;NA;NA;NA;NA;NA;    857;0,792051756
5218805;521880;RIO VERDE;Rio Verde;GO;5;-51,03853;-17,73939695; 884,16;0,5604;1,904095e+06;0,807;  150511;  6112,42;  44106;  176424;3,464619e+01; 40,61111800;  45852;0,826355723
5218904;521890;RUBIATABA;Rubiataba;GO;5;-49,87683;-15,18106677; 557,51;0,4520;7,794628e+04;0,748;   16184;   535,07;   5680;   18915;2,828813e+01; 33,06166600;   5258;0,828422877
5219001;521900;SANCLERLNDIA;Sanclerlndia;GO;5;-50,37210;-16,28222842; 641,46;0,4824;4,513466e+04;0,734;    6068;   258,65;   2610;    7550;3,425828e+01; 42,62524700;   2294;0,859176030
5219100;521910;SANTA BRBARA DE GOIS;Santa Brbara de Gois;GO;5;-49,67991;-16,59627935; 500,99;0,3926;2,686441e+04;0,733;    5206;   151,46;   1686;    5751;2,633629e+01; 29,09335400;   1652;0,889128095
5219209;521920;SANTA CRUZ DE GOIS;Santa Cruz de Gois;GO;5;-48,59314;-17,36039181; 622,54;0,4876;3,324907e+04;0,782;     981;    45,97;    559;    3142;1,463081e+01; 46,86034700;    466;0,420577617
5219258;521925;SANTA F DE GOIS;Santa F de Gois;GO;5;-51,17164;-15,66771960; 629,46;0,4911;7,880322e+04;0,714;    3811;   138,45;   1233;    4762;2,907392e+01; 36,32904700;   1136;0,726807422
5219308;521930;SANTA HELENA DE GOIS;Santa Helena de Gois;GO;5;-50,57876;-17,80154663; 764,48;0,5303;3,413360e+05;0,747;   32042;  1413,33;  10074;   36469;3,875428e+01; 44,10867000;  10071;0,848369977
5219357;521935;SANTA ISABEL;Santa Isabel;GO;5;-49,39002;-15,25054039; 472,40;0,3979;2,374900e+04;0,720;    1367;    79,90;    938;    3686;2,167661e+01; 58,44915900;    872;0,679127726
5219407;521940;SANTA RITA DO ARAGUAIA;Santa Rita do Araguaia;GO;5;-53,06945;-17,24466403; 628,39;0,4912;3,374335e+04;0,756;    6159;   260,51;   2474;    6924;3,762421e+01; 42,29745100;   1975;0,873893805
5219456;521945;SANTA RITA DO NOVO DESTIN;Santa Rita do Novo Destin;;5;-49,05627;-14,87668038; 402,70;0,4478;NA;NA;NA;NA;NA;NA;NA;NA;    492;0,509316770
5219506;521950;SANTA ROSA DE GOIS;Santa Rosa de Gois;GO;5;-49,48603;-16,06276463; 435,42;0,4325;1,351140e+04;0,715;    2177;    63,84;    748;    2909;2,194569e+01; 29,32475900;    695;0,697791165
5219605;521960;SANTA TEREZA DE GOIS;Santa Tereza de Gois;GO;5;-48,98208;-13,57247490; 371,73;0,5276;2,157426e+04;0,729;    3351;    76,47;   1244;    3995;1,914143e+01; 22,82005400;   1119;0,811457578
5219704;521970;SANTA TEREZINHA DE GOIS;Santa Terezinha de Gois;GO;5;-49,67265;-14,32249961; 431,91;0,5241;3,943657e+04;0,721;    5405;   138,25;   1600;   10302;1,341972e+01; 25,57816800;   1757;0,532101757
5219712;521971;SANTO ANTNIO DA BARRA;Santo Antnio da Barra;GO;5;-50,63061;-17,52517320; 485,28;0,4426;3,874305e+04;0,746;    3188;   105,13;    887;    4423;2,376894e+01; 32,97678800;   1018;0,709902371
