ID_IBGE;UF;REGIAO;DOMICIL;REDE
1301407;AM;1;   6254;   2802
2933604;BA;2;  11618;   9687
1100106;RO;1;  10684;   4780
3136959;MG;3;   1511;   1186
3153103;MG;3;   1601;    690
2705705;AL;2;   5477;   4607
3144359;MG;3;   1830;   1689
3546702;SP;3;   6673;   6564
2917102;BA;2;   5947;   5215
4305306;RS;4;   3329;   2994
2805604;SE;2;   7393;   5859
2108009;NA;2;   4688;   3741
3145505;MG;3;    798;    757
2303006;CE;2;   5233;   4041
1508209;PA;1;  11797;   5106
3532603;SP;3;   3683;   3026
5207402;GO;5;   3789;   2956
2312908;CE;2;  50520;  47572
4127106;PR;4;  21746;  21325
3519303;SP;3;   8800;   8530
4315057;RS;4;    833;    807
2910701;BA;2;  15857;  13264
1302207;AM;1;   2043;    932
2206803;PI;2;   2064;   1001
2503555;PB;2;   1808;    878
4206405;SC;4;   3268;   2352
2108504;MA;2;   7754;   6501
4311429;NA;4;    802;    713
3522604;SP;3;  21187;  19569
4320354;RS;4;   1807;    831
4101408;PR;4;  38492;  36498
2702306;NA;2;  13416;  11632
2505238;PB;2;   1729;    802
2108900;MA;2;   5305;   2418
2312809;CE;2;   1824;   1425
4313904;RS;4;  12996;  11553
3136553;MG;3;   1296;    563
2208601;PI;2;    887;    679
3134202;MG;3;  32359;  30386
3147501;NA;3;    557;    243
4317400;RS;4;  17202;  15995
2100154;NA;2;   2728;   1978
2919553;BA;2;  17769;  15967
2103554;MA;2;   3339;   1662
2609709;PE;2;   6351;   2894
2702207;AL;2;   1518;   1301
2405504;RN;2;    730;    327
2407807;RN;2;   5711;   4819
3127073;MG;3;   1587;    719
1300904;NA;1;   2955;   1400
3505401;SP;3;   2404;   1047
3515004;SP;3;  68225;  66864
2924801;BA;2;   6671;   5546
2707008;AL;2;    754;    331
3136207;MG;3;  22152;  21703
2920304;BA;2;   2366;   1072
3527207;SP;3;  25074;  24132
2113009;MA;2;   8232;   3673
4218004;SC;4;   9779;   9224
4206801;SC;4;   1112;    685
3141306;MG;3;   1121;    636
4318499;RS;4;    750;    733
2703007;AL;2;   4142;   3115
2917409;BA;2;   3681;   3112
3538204;SP;3;   4228;   2209
2600708;PE;2;  10291;   8486
2202059;PI;2;   2581;   1187
3514007;SP;3;   2426;   2377
4216701;SC;4;   4346;   3620
3532306;SP;3;   2405;   1094
2930709;BA;2;  35000;  32408
2911303;BA;2;   2976;   2289
3505609;NA;3;   8415;   8278
2208858;PI;2;   1121;    586
2412559;RN;2;   2197;   1809
3550100;SP;3;  11500;  11056
1300508;AM;1;   5143;   2789
5104906;MT;5;   1978;    885
3544004;SP;3;   8698;   8211
2405306;RN;2;   2455;   1839
3305802;RJ;3;  53782;  37789
2704609;AL;2;   2676;   1233
3165909;MG;3;   1318;    588
2404804;RN;2;    640;    587
2111805;NA;2;   4099;   1996
2803609;SE;2;   6910;   5798
2304400;CE;2; 710066; 662543
2909109;BA;2;   4228;   3377
3105905;MG;3;   6064;   5867
3103603;MG;3;    932;    861
4313334;NA;4;    849;    657
2303303;CE;2;   5528;   2530
2926509;BA;2;   3933;   2885
3109600;MG;3;   1116;   1091
2112233;MA;2;   5102;   4216
3540200;SP;3;  11682;  11467
2202554;PI;2;   1214;    578
2514305;PB;2;   1460;    669
3539202;SP;3;   7740;   7346
1503408;PA;1;   2497;   1137
2305332;CE;2;   3213;   2412
2609006;PE;2;   6666;   5587
